영화관명,브랜드명,영업상태명,영화관지역명,광역단체,기초단체,번지명,도로명,x(epsg5174),y(epsg5174),lat_wgs84,lon_wgs84
구미,CGV,영업,경상,경상북도,구미시,경상북도 구미시 원평동 68-1,경상북도 구미시 구미중앙로 44 (원평동),319433.1401,292986.7904,36.1301000949918,128.327630524217
김천율곡,CGV,영업,경상,경상북도,김천시,경상북도 김천시 율곡동 1123번지,"경상북도 김천시 혁신2로 15 (율곡동, 더스퀘어)",306479.0645,291131.5889,36.1148802243337,128.183418492367
김해,CGV,영업,경상,경상남도,김해시,경상남도 김해시 내동 1131-4 휴앤락몰,"경상남도 김해시 내외중앙로 137, 4층 (내동, 휴앤락몰)",364058.48013230914,189563.6285952241,35.242184844639,128.868565640659
김해율하,CGV,영업,경상,경상남도,김해시,경상남도 김해시 율하동 1347-2번지,경상남도 김해시 율하2로 111 (율하동),365144.7853,187151.1233,35.170000129419,128.813494036459
김해장유,CGV,영업,경상,경상남도,김해시,경상남도 김해시 대청동 302-5,경상남도 김해시 삼문로 12 (대청동),364053.3354,189566.1012,35.1919388028605,128.802126676431
마산,CGV,영업,경상,경상남도,창원시 마산회원구,경상남도 창원시 마산회원구 합성동 126-4,경상남도 창원시 마산회원구 3·15대로 736 (합성동),343966.6217,194288.6445,35.2375407358846,128.582439747064
북포항,CGV,영업,경상,경상북도,포항시,경상북도 포항시 북구 덕산동 235-4,경상북도 포항시 북구 서동로 93 (덕산동),413362.4224,284852.5835,36.0407444090996,129.368234095866
안동,CGV,영업,경상,경상북도,안동시,경상북도 안동시 용상동 1426-1번지,경상북도 안동시 경동로 841 (용상동),356541.0156,341426.3052,36.5611329597627,128.749351554821
양산삼호,CGV,영업,경상,경상남도,양산시,경상남도 양산시 삼호동 1010-3번지,"경상남도 양산시 삼호1길 42, 5,6층 (삼호동)",396840.5494,214866.5062,,
진주혁신,CGV,영업,경상,경상남도,진주시,경상남도 진주시 충무공동 225-1,"경상남도 진주시 에나로127번길 30, 어반스퀘어 4,5층 (충무공동)",304128.1408,187423.9961,35.1806603541538,128.143954450206
창원더시티,CGV,영업,경상,경상남도,창원시,"경상남도 창원시 성산구 대원동 121 W224,W306,W401","경상남도 창원시 성산구 원이대로 320 (대원동, W224,W306,W401)",350381.455,194669.2038,35.2396668440149,128.654408692296
창원상남,CGV,영업,경상,경상남도,창원시 성산구,경상남도 창원시 성산구 상남동 77-4,"경상남도 창원시 성산구 중앙대로100번길 13, 창원 엠포리움 5,6층 (상남동)",353008.424,192790.4061,35.2226862850042,128.681435820255
광양 엘에프스퀘어,CGV,영업,광주/전라/제주,전라남도,광양시,전라남도 광양시 광양읍 덕례리 702,전라남도 광양시 광양읍 순광로 466,251752.2,163151.3,34.9625155748762,127.565425861327
광주금남로,CGV,영업,광주/전라/제주,광주광역시,동구,광주광역시 동구 불로동 1-21,광주광역시 동구 중앙로160번길 16-7 (불로동),192150.4993,183089.569,35.1468210821764,126.914650257505
광주상무,CGV,영업,광주/전라/제주,광주광역시,서구,광주광역시 서구 치평동 1218-1,광주광역시 서구 시청로 67 (치평동),186350.8164,183915.8701,35.1541873908598,126.85101677228
광주용봉,CGV,영업,광주/전라/제주,광주광역시,북구,광주광역시 북구 용봉동 17-1,광주광역시 북구 문화소통로 170 (용봉동),191975.4185,187025.3545,35.1825084538785,126.912088621192
광주첨단,CGV,영업,광주/전라/제주,광주광역시,광산구,광주광역시 광산구 쌍암동 694-35,광주광역시 광산구 첨단중앙로182번길 8,186327.32160970755,190794.9189827175,35.2212213455505,126.842020544632
광주충장로,CGV,영업,광주/전라/제주,광주광역시,동구,광주광역시 동구 충장로4가 29-2,"광주광역시 동구 중앙로 163, 11층 (충장로4가, NC 웨이브 충장점)",192005.764,183296.8613,35.1486317606388,126.913162021511
광주하남,CGV,영업,광주/전라/제주,광주광역시,광산구,광주광역시 광산구 하남동 832 TERRACE56  PICNICMALL,"광주광역시 광산구 용아로400번길 30, TERRACE56  PICNICMALL 2층 (하남동)",182301.7727,186588.2421,35.1779756891641,126.806472769389
나주,CGV,영업,광주/전라/제주,전라남도,나주시,전라남도 나주시 빛가람동 203-3번지 티씨씨타워 4층,전라남도 나주시 상야4길 16-16,181036.5362,169457.8414,35.0238872539941,126.793045605705
